Station,Zooplankton,Abundance,Latitude,Longitude,Station Depth (m)
MVCO,Acartia,158572.0204,41.325,-70.5667,17
MVCO,Calanus finmarchicus,5405.053683,41.325,-70.5667,17
MVCO,Centropages typicus,181042.1678,41.325,-70.5667,17
MVCO,Chaetognatha,1167.013966,41.325,-70.5667,17
MVCO,Oithona,4789.567012,41.325,-70.5667,17
MVCO,Pseudocalanus minutus,31542.03909,41.325,-70.5667,17
L1,Acartia,22917.27822,41.1967,-70.8833,21
L1,Calanus finmarchicus,5313.300014,41.1967,-70.8833,21
L1,Centropages typicus,1388928.364,41.1967,-70.8833,21
L1,Chaetognatha,6195.424606,41.1967,-70.8833,21
L1,Oithona,10467.22418,41.1967,-70.8833,21
L1,Pseudocalanus minutus,84224.4145,41.1967,-70.8833,21
L2,Acartia,7324.860291,41.03,-70.8833,47
L2,Calanus finmarchicus,127664.0557,41.03,-70.8833,47
L2,Centropages typicus,1880242.292,41.03,-70.8833,47
L2,Chaetognatha,76294.38127,41.03,-70.8833,47
L2,Oithona,201511.0554,41.03,-70.8833,47
L2,Pseudocalanus minutus,406932.4537,41.03,-70.8833,47
L3,Acartia,6171.286647,40.8633,-70.8833,58
L3,Calanus finmarchicus,393942.6934,40.8633,-70.8833,58
L3,Centropages typicus,985708.8888,40.8633,-70.8833,58
L3,Chaetognatha,96888.55283,40.8633,-70.8833,58
L3,Oithona,98936.67406,40.8633,-70.8833,58
L3,Pseudocalanus minutus,148413.5616,40.8633,-70.8833,58
L4,Acartia,1992.416023,40.6967,-70.8833,68
L4,Calanus finmarchicus,939297.2601,40.6967,-70.8833,68
L4,Centropages typicus,889599.6216,40.6967,-70.8833,68
L4,Chaetognatha,133861.8075,40.6967,-70.8833,68
L4,Oithona,136677.1807,40.6967,-70.8833,68
L4,Pseudocalanus minutus,280504.1513,40.6967,-70.8833,68
L5,Acartia,4574.142708,40.5133,-70.8833,75
L5,Calanus finmarchicus,617947.9926,40.5133,-70.8833,75
L5,Centropages typicus,768804.1658,40.5133,-70.8833,75
L5,Chaetognatha,94713.99769,40.5133,-70.8833,75
L5,Oithona,140597.784,40.5133,-70.8833,75
L5,Pseudocalanus minutus,88354.65222,40.5133,-70.8833,75
L6,Acartia,805.730914,40.3633,-70.8833,95
L6,Calanus finmarchicus,415106.209,40.3633,-70.8833,95
L6,Centropages typicus,438668.871,40.3633,-70.8833,95
L6,Chaetognatha,94383.20142,40.3633,-70.8833,95
L6,Oithona,108537.9707,40.3633,-70.8833,95
L6,Pseudocalanus minutus,128097.2044,40.3633,-70.8833,95
L7,Acartia,6069.114189,40.2575,-70.8833,120
L7,Calanus finmarchicus,507206.245,40.2575,-70.8833,120
L7,Centropages typicus,620341.3983,40.2575,-70.8833,120
L7,Chaetognatha,102064.5775,40.2575,-70.8833,120
L7,Oithona,408659.1414,40.2575,-70.8833,120
L7,Pseudocalanus minutus,89470.93735,40.2575,-70.8833,120
L8,Acartia,5980.092783,40.1517,-70.8833,137
L8,Calanus finmarchicus,127282.5336,40.1517,-70.8833,137
L8,Centropages typicus,224517.7267,40.1517,-70.8833,137
L8,Chaetognatha,156264.9214,40.1517,-70.8833,137
L8,Oithona,52251.00484,40.1517,-70.8833,137
L8,Pseudocalanus minutus,14901.60935,40.1517,-70.8833,137
L9,Acartia,6067.49988,40.0458,-70.8833,205
L9,Calanus finmarchicus,750158.8806,40.0458,-70.8833,205
L9,Centropages typicus,120328.5004,40.0458,-70.8833,205
L9,Chaetognatha,159219.9718,40.0458,-70.8833,205
L9,Oithona,140156.236,40.0458,-70.8833,205
L9,Pseudocalanus minutus,34718.53731,40.0458,-70.8833,205
L10,Acartia,5166.770201,39.94,-70.8833,462
L10,Calanus finmarchicus,14981.86123,39.94,-70.8833,462
L10,Centropages typicus,600576.9527,39.94,-70.8833,462
L10,Chaetognatha,90857.24768,39.94,-70.8833,462
L10,Oithona,129553.7451,39.94,-70.8833,462
L10,Pseudocalanus minutus,43716.00036,39.94,-70.8833,462
L11,Acartia,16239.50672,39.7733,-70.8833,1604
L11,Calanus finmarchicus,4286.33625,39.7733,-70.8833,1604
L11,Centropages typicus,541689.335,39.7733,-70.8833,1604
L11,Chaetognatha,96053.71509,39.7733,-70.8833,1604
L11,Oithona,90832.44516,39.7733,-70.8833,1604
L11,Pseudocalanus minutus,1778.66271,39.7733,-70.8833,1604
